"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Reuters: ICYMI: Alaskan glaciers are melting at record or near-record levels as 2019 is likely to be the state’s hottest year on record…",FALSE,0,NA,2019-12-15 08:02:39,FALSE,NA,"1206122382999425025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xtianmcintire02",18,TRUE,FALSE,NA,NA
"RT @MikeHudema: Germany built the world's first hydrogen-powered train. It emits nothing but water and steam! 

We have solutions to the #c…",FALSE,0,NA,2019-12-15 08:02:38,FALSE,NA,"1206122380126511105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","likeitsays",501,TRUE,FALSE,NA,NA
"@StandUp4Brexit @objectsmith Who is that woman?  At last somebody who understands the biggest problem affecting thi… https://t.co/xmKLPQHEfw",FALSE,0,"StandUp4Brexit",2019-12-15 08:02:38,TRUE,"1205782867525210112","1206122379509940225","1022452334872457216","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrianTu19056721",0,FALSE,FALSE,NA,NA
"RT @freedy50: @theprojecttv Started off alright, but then ended up jumping on the climate change bandwagon. <U+0001F644>",FALSE,0,NA,2019-12-15 08:02:38,FALSE,NA,"1206122379497230338",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","auselection2016",1,TRUE,FALSE,NA,NA
"RT @NatKeohane: As #COP25 winds down, this great piece by @renaereints, on the promise of carbon markets to drive more ambitious climate ac…",FALSE,0,NA,2019-12-15 08:02:38,FALSE,NA,"1206122379463798785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UNDP_REDDPlus",2,TRUE,FALSE,NA,NA
"RT @ericsteig: I'm getting very tired of answering this question.

No, it's not the sun.

https://t.co/n1Wa9kXcaS https://t.co/wDfY8ZaV4C",FALSE,0,NA,2019-12-15 08:02:38,FALSE,NA,"1206122378272628737",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","armadajosh",758,TRUE,FALSE,NA,NA
"@butt_facts If they are straight up deniers I don’t think they can be reasonable. Where our reasonable climate change “doubters” at?",FALSE,0,"butt_facts",2019-12-15 08:02:38,FALSE,"1206110205081047040","1206122377764933632","1066813303794499584","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JKL08961228",0,FALSE,FALSE,NA,NA
"RT @TheBabylonBee: Poll Finds Most People Would Rather Be Annihilated By Giant Tidal Wave Than Continue To Be Lectured By Climate Change Ac…",FALSE,0,NA,2019-12-15 08:02:36,FALSE,NA,"1206122372333486080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tanner24Mac",1601,TRUE,FALSE,NA,NA
"RT @fearnothing23: The bad seed back Greta Thunberg appears to threaten world leaders who don't abide by her climate change agenda - TheBla…",FALSE,0,NA,2019-12-15 08:02:36,FALSE,NA,"1206122369699463168",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ClaireBQuinn",1,TRUE,FALSE,NA,NA
"RT @SomnThSaha1: Wishing a very happy birthday to Hon’ble Minister of State for Environment, Forest &amp; Climate Change Shri @SuPriyoBabul ji.…",FALSE,0,NA,2019-12-15 08:02:35,FALSE,NA,"1206122366301958145",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Joykrishanchow2",4,TRUE,FALSE,NA,NA
"RT @SolidariDirk: A climate was created in which whites didn't feel welcome. From 1994 to 2002 at least 10 207 white staff members, constit…",FALSE,0,NA,2019-12-15 08:02:35,FALSE,NA,"1206122365240905728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RinaSchultz4",8,TRUE,FALSE,NA,NA
"RT @SylviaD32911201: This graph in the British Museum set me on my path to climate enlightenment.

The more I researched and reasoned the w…",FALSE,0,NA,2019-12-15 08:02:35,FALSE,NA,"1206122364770996229",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JimW_in_NM",52,TRUE,FALSE,NA,NA
"RT @Tiff_FitzHenry: Trauma is the go to tool of the controlling elite &amp; climate hysteria is the new 9/11. 

Pro-tip: Never believe powerful…",FALSE,0,NA,2019-12-15 08:02:34,FALSE,NA,"1206122363584073728",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MrPoopyPants19",1016,TRUE,FALSE,NA,NA
"RT @narakxm: Today, I asked @PeteButtigieg to change his climate plan because his call to end climate pollution by 2050 IS NOT GOOD ENOUGH.…",FALSE,0,NA,2019-12-15 08:02:34,FALSE,NA,"1206122361851990016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LiftTheeLeft",51,TRUE,FALSE,NA,NA
"”The world needs an all-out effort to keep the Arctic ice strong. This requires cutting emissions of carbon dioxide… https://t.co/M2XumH8Iti",FALSE,0,NA,2019-12-15 08:02:34,TRUE,NA,"1206122361285697537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElisaMikko",0,FALSE,FALSE,NA,NA
"RT @hick_kevin: @Gladfly1 @Hobojebus @badmoonrising11 @DawnTJ90 @KIVUNature @ClimatePoet @dvibrationz @Tokyo_Tom @Kenneth72712993 @BradSchr…",FALSE,0,NA,2019-12-15 08:02:33,FALSE,NA,"1206122356319514626",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jellyfish949",3,TRUE,FALSE,NA,NA
"RT @HoadeRobbie: If you have some free time over the Christmas period, get into this free course on Climate Change from the most prominent…",FALSE,0,NA,2019-12-15 08:02:32,FALSE,NA,"1206122353282949120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ineeshadvs",31,TRUE,FALSE,NA,NA
"RT @IPOT1776: I can do this too.
'Not My Climate Change!'
'Not My Impeachment Inquiry!'
'Not My Browser History!' https://t.co/xsb30oMhU6",FALSE,0,NA,2019-12-15 08:02:31,FALSE,NA,"1206122349369516034",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeepndad",23,TRUE,FALSE,NA,NA
"Negotiators work through the night to salvage U.N. climate summit https://t.co/jKlqWZIWfD #UK #UKBiz #England #Britain #UnitedKingdom",FALSE,0,NA,2019-12-15 08:02:29,FALSE,NA,"1206122343258578944",NA,"<a href=""http://business-support-network.org/ukbiz/"" rel=""nofollow"">UK Business</a>","ukbizz",0,FALSE,FALSE,NA,NA
"ZANESVILLE OH Dec 14 Climate: Hi: 41 Lo: 35 Precip: 0.5 Snow: M https://t.co/oViK8KZ7o5",FALSE,0,NA,2019-12-15 08:02:29,FALSE,NA,"1206122341949820928",NA,"<a href=""https://mesonet.agron.iastate.edu/projects/iembot/"" rel=""nofollow"">iembot</a>","iembot_pbz",0,FALSE,FALSE,NA,NA
"RT @TrumpLadyFran: I WOULD LOVE To See CJ Pearson Take On Greta! 

He's Challenging 16 Yr Old ""Thumpyberger"" To a Climate Debate After She’…",FALSE,0,NA,2019-12-15 08:02:29,FALSE,NA,"1206122340083359744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CudmoreDipietra",705,TRUE,FALSE,NA,NA
"RT @Pam_Palmater: I agree w you @cblackst I can't imagine how politicians elected to serve the interests of the people would waste 5 minute…",FALSE,0,NA,2019-12-15 08:02:28,FALSE,NA,"1206122338493911040",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","elle_v__",69,TRUE,FALSE,NA,NA
"RT @NickCowern: Following COP25 it seems that only individual conscience and technological change stand between humanity and climatic disas…",FALSE,0,NA,2019-12-15 08:02:28,FALSE,NA,"1206122335977299969",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","maddonkeylady",27,TRUE,FALSE,NA,NA
